##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
 107	PDX 	0.00092399	Portland Intl, United States
 108	YYC 	0.00091421	Calgary Intl, Canada
 109	HIR 	0.00091341	Honiara International, Solomon Islands
 110	SCL 	0.00090435	Arturo Merino Benitez Intl, Chile
 111	MDW 	0.00088947	Chicago Midway Intl, United States
 112	BWI 	0.00088877	Baltimore Washington Intl, United States
 113	GIG 	0.00088798	Galeao Antonio Carlos Jobim, Brazil
 114	LGA 	0.00088716	La Guardia, United States
 115	FAI 	0.00088574	Fairbanks Intl, United States
 116	KIX 	0.00087349	Kansai, Japan
 117	STN 	0.00086649	Stansted, United Kingdom
 118	STL 	0.00086460	Lambert St Louis Intl, United States
 119	SAW 	0.00085552	Sabiha Gokcen, Turkey
 120	TAO 	0.00085240	Liuting, China
 121	CCS 	0.00084735	Simon Bolivar Intl, Venezuela
 122	CSX 	0.00084531	Huanghua, China
 123	WUH 	0.00083821	Tianhe, China
 124	DCA 	0.00083709	Ronald Reagan Washington Natl, United States
 125	GVA 	0.00083089	Geneve Cointrin, Switzerland
 126	VCP 	0.00082575	Viracopos, Brazil
 127	TPA 	0.00082154	Tampa Intl, United States
 128	PRG 	0.00081814	Ruzyne, Czech Republic
 129	NKG 	0.00081092	Lukou, China
 130	ALC 	0.00081087	Alicante, Spain
 131	IBZ 	0.00080303	Ibiza, Spain
 132	PTY 	0.00079914	Tocumen Intl, Panama
 133	DMK 	0.00079840	Don Muang Intl, Thailand
 134	BHX 	0.00079820	Birmingham, United Kingdom
 135	CCU 	0.00078448	Netaji Subhash Chandra Bose Intl, India
 136	NCE 	0.00078038	Cote D\\'Azur, France
 137	JNU 	0.00077883	Juneau Intl, United States
 138	VCE 	0.00077479	Venezia Tessera, Italy
 139	SGN 	0.00076083	Tansonnhat Intl, Vietnam
 140	STR 	0.00075456	Stuttgart, Germany
 141	DPS 	0.00074856	Bali Ngurah Rai, Indonesia
 142	CNS 	0.00074430	Cairns Intl, Australia
 143	LYS 	0.00074385	Saint Exupery, France
 144	LPA 	0.00074209	Gran Canaria, Spain
 145	HAM 	0.00073849	Hamburg, Germany
 146	SAN 	0.00073601	San Diego Intl, United States
 147	VLI 	0.00072408	Port Vila Bauerfield, Vanuatu
 148	ALG 	0.00072030	Houari Boumediene, Algeria
 149	SJO 	0.00071776	Juan Santamaria Intl, Costa Rica
 150	EDI 	0.00071752	Edinburgh, United Kingdom
 151	MRS 	0.00071331	Provence, France
 152	WAW 	0.00071201	Okecie, Poland
 153	YXL 	0.00070476	Sioux Lookout, Canada
 154	CMN 	0.00070352	Mohammed V Intl, Morocco
 155	GLA 	0.00070169	Glasgow, United Kingdom
 156	SSA 	0.00070107	Deputado Luis Eduardo Magalhaes, Brazil
 157	MHD 	0.00069454	Mashhad, Iran
 158	YEG 	0.00069430	Edmonton Intl, Canada
 159	TLV 	0.00069363	Ben Gurion, Israel
 160	HER 	0.00069023	Nikos Kazantzakis, Greece
 161	NAN 	0.00068844	Nadi Intl, Fiji
 162	MAO 	0.00068341	Eduardo Gomes Intl, Brazil
 163	CGO 	0.00068177	Xinzheng, China
 164	VKO 	0.00067649	Vnukovo, Russia
 165	UPG 	0.00067607	Hasanuddin, Indonesia
 166	AYT 	0.00066602	Antalya, Turkey
 167	BLR 	0.00066574	Bangalore, India
 168	MAA 	0.00066250	Chennai Intl, India
 169	DLC 	0.00066187	Zhoushuizi, China
 170	AMM 	0.00066057	Queen Alia Intl, Jordan
 171	CGN 	0.00064873	Koln Bonn, Germany
 172	EZE 	0.00064810	Ministro Pistarini, Argentina
 173	CNF 	0.00064639	Tancredo Neves Intl, Brazil
 174	KWI 	0.00064595	Kuwait Intl, Kuwait
 175	OME 	0.00064421	Nome, United States
 176	SJU 	0.00064087	Luis Munoz Marin Intl, Puerto Rico
 177	OTP 	0.00063730	Henri Coanda, Romania
 178	ADL 	0.00063370	Adelaide Intl, Australia
 179	SHE 	0.00063185	Shenyang Taoxian International Airport, China
 180	HAN 	0.00062673	Noibai Intl, Vietnam
 181	RHO 	0.00062592	Rhodes Diagoras, Greece
 182	GEA 	0.00062586	Magenta, New Caledonia
 183	CEB 	0.00062560	Mactan Cebu Intl, Philippines
 184	CLE 	0.00062322	Cleveland Hopkins Intl, United States
 185	KBP 	0.00062269	Boryspil Intl, Ukraine
 186	TFS 	0.00061963	Tenerife Sur, Spain
 187	MCT 	0.00061768	Seeb Intl, Oman
 188	YZF 	0.00061440	Yellowknife, Canada
 189	HRB 	0.00061050	Taiping, China
 190	OTZ 	0.00060448	Ralph Wien Mem, United States
 191	SVX 	0.00060273	Koltsovo, Russia
