##############################################################################
                            PAGE RANK ALGORITHM                               
##############################################################################

This program computes the Page Rank of a network of airports and flights
Page Rank algorithm uses the following parameters:
	 - MAX_ITERATIONS = 100
	 - DAMPING_FACTOR = 0.85
	 - EPSILON = 1e-05

##############################################################################

Reading Airport file from airports.txt
There were 5740 airports with a valid IATA code
There were 1923 airports with an invalid IATA code

Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

##############################################################################

Results:
Rank	IATA	PageRank	Name
1541	WWD 	0.00017422	Cape May Co, United States
1542	NFL 	0.00017422	Fallon Nas, United States
1543	MTC 	0.00017422	Selfridge Angb, United States
1544	NQX 	0.00017422	Key West Nas, United States
1545	PNE 	0.00017422	Northeast Philadelphia, United States
1546	TCS 	0.00017422	Truth Or Consequences Muni, United States
1547	PMD 	0.00017422	Palmdale Rgnl Usaf Plt 42, United States
1548	RND 	0.00017422	Randolph Afb, United States
1549	NJK 	0.00017422	El Centro Naf, United States
1550	FYV 	0.00017422	Drake Fld, United States
1551	FSI 	0.00017422	Henry Post Aaf, United States
1552	PNM 	0.00017422	Princeton Muni, United States
1553	FFO 	0.00017422	Wright Patterson Afb, United States
1554	MWL 	0.00017422	Mineral Wells, United States
1555	IAB 	0.00017422	Mc Connell Afb, United States
1556	NBG 	0.00017422	New Orleans Nas Jrb, United States
1557	BFT 	0.00017422	Beaufort, United States
1558	APG 	0.00017422	Phillips Aaf, United States
1559	TCC 	0.00017422	Tucumcari Muni, United States
1560	ZUN 	0.00017422	Black Rock, United States
1561	NQA 	0.00017422	Millington Rgnl Jetport, United States
1562	EKN 	0.00017422	Elkins Randolph Co Jennings Randolph, United States
1563	HFD 	0.00017422	Hartford Brainard, United States
1564	SFZ 	0.00017422	North Central State, United States
1565	NUQ 	0.00017422	Moffett Federal Afld, United States
1566	BKH 	0.00017422	Barking Sands Pmrf, United States
1567	DRI 	0.00017422	Beauregard Rgnl, United States
1568	BSF 	0.00017422	Bradshaw Aaf, United States
1569	OLS 	0.00017422	Nogales Intl, United States
1570	MCF 	0.00017422	Macdill Afb, United States
1571	OPF 	0.00017422	Opa Locka, United States
1572	DRT 	0.00017422	Del Rio Intl, United States
1573	MUI 	0.00017422	Muir Aaf, United States
1574	HST 	0.00017422	Homestead Arb, United States
1575	RAL 	0.00017422	Riverside Muni, United States
1576	FLV 	0.00017422	Sherman Aaf, United States
1577	WAL 	0.00017422	Wallops Flight Facility, United States
1578	HMN 	0.00017422	Holloman Afb, United States
1579	NXX 	0.00017422	Willow Grove Nas Jrb, United States
1580	YIP 	0.00017422	Willow Run, United States
1581	VBG 	0.00017422	Vandenberg Afb, United States
1582	NEL 	0.00017422	Lakehurst Naes, United States
1583	SYA 	0.00017422	Eareckson As, United States
1584	LSV 	0.00017422	Nellis Afb, United States
1585	RIV 	0.00017422	March Arb, United States
1586	UGN 	0.00017422	Waukegan Rgnl, United States
1587	SKY 	0.00017422	Griffing Sandusky, United States
1588	PAE 	0.00017422	Snohomish Co, United States
1589	MUO 	0.00017422	Mountain Home Afb, United States
1590	NGU 	0.00017422	Norfolk Ns, United States
1591	CEF 	0.00017422	Westover Arb Metropolitan, United States
1592	BCT 	0.00017422	Boca Raton, United States
1593	NYG 	0.00017422	Quantico Mcaf, United States
1594	CVS 	0.00017422	Cannon Afb, United States
1595	NGF 	0.00017422	Kaneohe Bay Mcaf, United States
1596	OFF 	0.00017422	Offutt Afb, United States
1597	GKN 	0.00017422	Gulkana, United States
1598	BAD 	0.00017422	Barksdale Afb, United States
1599	FOE 	0.00017422	Forbes Fld, United States
1600	COT 	0.00017422	Cotulla Lasalle Co, United States
1601	NMM 	0.00017422	Meridian Nas, United States
1602	HBR 	0.00017422	Hobart Muni, United States
1603	WSD 	0.00017422	Condron Aaf, United States
1604	LFI 	0.00017422	Langley Afb, United States
1605	CBM 	0.00017422	Columbus Afb, United States
1606	TMB 	0.00017422	Kendall Tamiami Executive, United States
1607	NTU 	0.00017422	Oceana Nas, United States
1608	GUS 	0.00017422	Grissom Arb, United States
1609	SEM 	0.00017422	Craig Fld, United States
1610	FBK 	0.00017422	Ladd Aaf, United States
1611	MMV 	0.00017422	Mc Minnville Muni, United States
1612	WRB 	0.00017422	Robins Afb, United States
1613	SBG 	0.00017422	Maimun Saleh, Indonesia
1614	CBN 	0.00017422	Penggung, Indonesia
1615	CXP 	0.00017422	Tunggul Wulung, Indonesia
1616	PCB 	0.00017422	Pondok Cabe, Indonesia
1617	SIQ 	0.00017422	Dabo, Indonesia
1618	RTG 	0.00017422	Satar Tacik, Indonesia
1619	AMI 	0.00017422	Selaparang, Indonesia
1620	NAK 	0.00017422	Nakhon Ratchasima, Thailand
1621	LPX 	0.00017422	Liepaja Intl, Latvia
1622	SQQ 	0.00017422	Siauliai Intl, Lithuania
1623	HLJ 	0.00017422	Barysiai, Lithuania
1624	PNV 	0.00017422	Pajuostis, Lithuania
1625	ASA 	0.00017422	Assab Intl, Eritrea
1626	GZA 	0.00017422	Yasser Arafat Intl, Palestine
1627	BHN 	0.00017422	Beihan, Yemen
1628	JRB 	0.00017422	Wall Street Heliport, United States
1629	JCH 	0.00017422	Qasigiannguit, Greenland
1630	NSB 	0.00017422	Bimini North Seaplane Base, Bahamas
1631	TKA 	0.00017422	Talkeetna, United States
1632	GZM 	0.00017422	Xewkija Heliport, Malta
1633	MFN 	0.00017422	Milford Sound Airport, New Zealand
1634	TSS 	0.00017422	East 34th Street Heliport, United States
1635	QKL 	0.00017422	Cologne Railway, Germany
1636	ZWS 	0.00017422	Stuttgart Railway Station, Germany
1637	SEU 	0.00017422	Seronera, Tanzania
1638	DWH 	0.00017422	David Wayne Hooks Field, United States
1639	S46 	0.00017422	Port O\\'Connor Airfield, United States
1640	VNY 	0.00017422	Van Nuys, United States
1641	X21 	0.00017422	Arthur Dunn Airpark, United States
1642	PFN 	0.00017422	Panama City Bay Co Intl, United States
1643	DWS 	0.00017422	Orlando, United States
1644	HUI 	0.00017422	Phu Bai, Vietnam
1645	YOA 	0.00017422	Ekati, Canada
1646	LEV 	0.00017422	Levuka Airfield, Fiji
1647	KBZ 	0.00017422	Kaikoura, New Zealand
1648	PCN 	0.00017422	Koromiko, New Zealand
1649	MFA 	0.00017422	Mafia, Tanzania
1650	SNV 	0.00017422	Santa Elena Airport, Venezuela
1651	BLH 	0.00017422	Blythe Airport, United States
1652	MWQ 	0.00017422	Magwe, Burma
1653	KHM 	0.00017422	Khamti, Burma
1654	PYY 	0.00017422	Pai, Thailand
1655	AAH 	0.00017422	Flugplatz Merzbrueck, Germany
1656	LUA 	0.00017422	Lukla, Nepal
1657	BHP 	0.00017422	Bhojpur, Nepal
1658	LDN 	0.00017422	Lamidanda, Nepal
1659	JMO 	0.00017422	Jomsom, Nepal
1660	NGX 	0.00017422	Manang, Nepal
1661	PPL 	0.00017422	Phaplu, Nepal
1662	TMK 	0.00017422	Thamkharka, Nepal
1663	RUM 	0.00017422	Rumjatar, Nepal
1664	DNP 	0.00017422	Tulsipur, Nepal
1665	RUK 	0.00017422	Rukumkot, Nepal
1666	JUM 	0.00017422	Jumla, Nepal
1667	HRJ 	0.00017422	Chaurjhari, Nepal
1668	TPJ 	0.00017422	Taplejung, Nepal
1669	IMK 	0.00017422	Simikot, Nepal
1670	DOP 	0.00017422	Dolpa, Nepal
1671	BJH 	0.00017422	Bajhang, Nepal
1672	NOE 	0.00017422	Sonderlandeplatz Norden-Norddeich, Germany
1673	JUI 	0.00017422	Verkehrslandeplatz Juist, Germany
1674	GDA 	0.00017422	Gounda Airport, Central African Republic
1675	SGR 	0.00017422	Sugar Land Regional Airport, United States
1676	HIS 	0.00017422	Hayman Island Airport, Australia
1677	APA 	0.00017422	Centennial, United States
1678	FST 	0.00017422	Fort Stockton Pecos Co, United States
1679	LVS 	0.00017422	Las Vegas Muni, United States
1680	IWS 	0.00017422	West Houston, United States
1681	LHX 	0.00017422	La Junta Muni, United States
1682	LRU 	0.00017422	Las Cruces Intl, United States
1683	BKD 	0.00017422	Stephens Co, United States
1684	TPL 	0.00017422	Draughon Miller Central Texas Rgnl, United States
1685	OZA 	0.00017422	Ozona Muni, United States
1686	HEW 	0.00017422	Athen Helenikon Airport, Greece
1687	WKL 	0.00017422	Waikoloa Heliport, United States
1688	LAK 	0.00017422	Aklavik, Canada
1689	CGF 	0.00017422	Cuyahoga County, United States
1690	MFD 	0.00017422	Mansfield Lahm Regional, United States
1691	FNL 	0.00017422	Fort Collins Loveland Muni, United States
1692	TVL 	0.00017422	Lake Tahoe Airport, United States
1693	UUU 	0.00017422	Newport State, United States
1694	VSF 	0.00017422	Hartness State, United States
1695	CON 	0.00017422	Concord Municipal, United States
1696	SFM 	0.00017422	Sanford Regional, United States
1697	GON 	0.00017422	Groton New London, United States
1698	BPE 	0.00017422	Bagan, Burma
1699	HQM 	0.00017422	Bowerman Field, United States
1700	SDX 	0.00017422	Sedona, United States
1701	BAK 	0.00017422	Heydar Aliyev, Azerbaijan
1702	THG 	0.00017422	Thangool, Australia
1703	FGI 	0.00017422	Fagali\\'i, Samoa
1704	MKC 	0.00017422	Downtown, United States
1705	RBE 	0.00017422	Ratanakiri, Cambodia
1706	NZJ 	0.00017422	El Toro, United States
1707	PHY 	0.00017422	Phetchabun, Thailand
1708	KAI 	0.00017422	Kaieteur, Guyana
1709	ECA 	0.00017422	Iosco County, United States
1710	TBJ 	0.00017422	7 Novembre, Tunisia
1711	CGU 	0.00017422	General Manuel Carlos Piar, Venezuela
1712	QEF 	0.00017422	Egelsbach, Germany
1713	UIK 	0.00017422	Ust-Ilimsk, Russia
1714	HKV 	0.00017422	Uzundzhovo, Bulgaria
1715	GUP 	0.00017422	Gallup Muni, United States
1716	LAA 	0.00017422	Lamar Muni, United States
1717	GLD 	0.00017422	Renner Fld, United States
1718	FBU 	0.00017422	Fornebu, Norway
1719	BKA 	0.00017422	Bykovo, Russia
1720	ZWU 	0.00017422	Washington Union Station, United States
1721	PKV 	0.00017422	Kresty, Russia
1722	KGP 	0.00017422	Kogalym International, Russia
1723	CRZ 	0.00017422	Turkmenabat, Turkmenistan
1724	IWA 	0.00017422	Yuzhny, Russia
1725	JON 	0.00017422	Johnston Atoll, Johnston Atoll
1726	SMD 	0.00017422	Smith Fld, United States
1727	TCL 	0.00017422	Tuscaloosa Rgnl, United States
1728	GBJ 	0.00017422	Les Bases Airport, Guadeloupe
1729	SFC 	0.00017422	St-François Airport, Guadeloupe
1730	BBQ 	0.00017422	Codrington Airport, Antigua and Barbuda
1731	MYC 	0.00017422	Escuela Mariscal Sucre Airport, Venezuela
1732	NZA 	0.00017422	Maria Reiche Neuman Airport, Peru
1733	BXX 	0.00017422	Boorama Airport, Somalia
1734	MVS 	0.00017422	Mucuri Airport, Brazil
1735	ORG 	0.00017422	Zorg en Hoop Airport, Suriname
1736	REY 	0.00017422	Reyes Airport, Bolivia
1737	PUR 	0.00017422	Puerto Rico Airport, Bolivia
1738	ZPC 	0.00017422	Pucón Airport, Chile
1739	TOW 	0.00017422	Toledo Airport, Brazil
1740	GUL 	0.00017422	Goulburn Airport, Australia
1741	SST 	0.00017422	Santa Teresita Airport, Argentina
1742	GGS 	0.00017422	Gobernador Gregores Airport, Argentina
1743	OES 	0.00017422	Antoine De St Exupery Airport, Argentina
1744	LHS 	0.00017422	Las Heras Airport, Argentina
1745	TTG 	0.00017422	General Enrique Mosconi Airport, Argentina
1746	CYU 	0.00017422	Cuyo Airport, Philippines
1747	MPK 	0.00017422	Mokpo Airport, South Korea
1748	OKD 	0.00017422	Okadama Airport, Japan
1749	MFK 	0.00017422	Matsu Beigan Airport, Taiwan
1750	HCN 	0.00017422	Hengchun Airport, Taiwan
1751	LZN 	0.00017422	Matsu Nangan Airport, Taiwan
1752	ENT 	0.00017422	Eniwetok Airport, Marshall Islands
1753	LUP 	0.00017422	Kalaupapa Airport, United States
1754	ENI 	0.00017422	El Nido Airport, Philippines
1755	WPM 	0.00017422	Wipim Airport, Papua New Guinea
1756	VMU 	0.00017422	Baimuru Airport, Papua New Guinea
1757	UKU 	0.00017422	Nuku Airport, Papua New Guinea
1758	SKC 	0.00017422	Suki Airport, Papua New Guinea
1759	OBX 	0.00017422	Obo Airport, Papua New Guinea
1760	LMY 	0.00017422	Lake Murray Airport, Papua New Guinea
1761	KUY 	0.00017422	Kamusi Airport, Papua New Guinea
1762	KKD 	0.00017422	Kokoda Airport, Papua New Guinea
1763	KDR 	0.00017422	Kandrian Airport, Papua New Guinea
1764	JAQ 	0.00017422	Jacquinot Bay Airport, Papua New Guinea
1765	IIS 	0.00017422	Nissan Island Airport, Papua New Guinea
1766	IHU 	0.00017422	Ihu Airport, Papua New Guinea
1767	GMI 	0.00017422	Gasmata Island Airport, Papua New Guinea
1768	ATP 	0.00017422	Tadji Airport, Papua New Guinea
1769	ELE 	0.00017422	EL Real Airport, Panama
1770	KAC 	0.00017422	Kamishly Airport, Syria
1771	SYW 	0.00017422	Sehwan Sharif Airport, Pakistan
1772	PAJ 	0.00017422	Parachinar Airport, Pakistan
1773	ORW 	0.00017422	Ormara Airport, Pakistan
1774	KDD 	0.00017422	Khuzdar Airport, Pakistan
1775	HDD 	0.00017422	Hyderabad Airport, Pakistan
1776	JIW 	0.00017422	Jiwani Airport, Pakistan
1777	BNP 	0.00017422	Bannu Airport, Pakistan
1778	RJN 	0.00017422	Rafsanjan Airport, Iran
1779	EWD 	0.00017422	Wadi Al Dawasir Airport, Saudi Arabia
1780	XAU 	0.00017422	Saul Airport, French Guiana
1781	FBD 	0.00017422	Faizabad Airport, Afghanistan
1782	OLZ 	0.00017422	North West Santo Airport, Vanuatu
1783	RCL 	0.00017422	Redcliffe Airport, Vanuatu
1784	MWF 	0.00017422	Naone Airport, Vanuatu
1785	APK 	0.00017422	Apataki Airport, French Polynesia
1786	MXS 	0.00017422	Maota Airport, Samoa
1787	MWP 	0.00017422	Mountain Airport, Nepal
1788	NTT 	0.00017422	Kuini Lavenia Airport, Tonga
1789	HPA 	0.00017422	Lifuka Island Airport, Tonga
1790	EUA 	0.00017422	Kaufana Airport, Tonga
1791	KXF 	0.00017422	Koro Island Airport, Fiji
1792	NGI 	0.00017422	Ngau Airport, Fiji
1793	MFJ 	0.00017422	Moala Airport, Fiji
1794	MNF 	0.00017422	Mana Island Airport, Fiji
1795	PTF 	0.00017422	Malolo Lailai Island Airport, Fiji
1796	PYE 	0.00017422	Penrhyn Island Airport, Cook Islands
1797	MHX 	0.00017422	Manihiki Island Airport, Cook Islands
1798	PID 	0.00017422	Nassau Paradise Island Airport, Bahamas
1799	CAT 	0.00017422	New Bight Airport, Bahamas
1800	ATC 	0.00017422	Arthurs Town Airport, Bahamas
1801	COX 	0.00017422	Congo Town Airport, Bahamas
1802	SCX 	0.00017422	Salina Cruz Naval Air Station, Mexico
1803	TND 	0.00017422	Alberto Delgado Airport, Cuba
1804	PAX 	0.00017422	Port-de-Paix Airport, Haiti
1805	JEE 	0.00017422	Jeremie Airport, Haiti
1806	PLD 	0.00017422	Playa Samara Airport, Costa Rica
1807	BCL 	0.00017422	Barra del Colorado Airport, Costa Rica
1808	PLP 	0.00017422	Captain Ramon Xatruch Airport, Panama
1809	ONX 	0.00017422	Enrique Adolfo Jimenez Airport, Panama
1810	CTD 	0.00017422	Alonso Valderrama Airport, Panama
1811	GUB 	0.00017422	Guerrero Negro Airport, Mexico
1812	CUA 	0.00017422	Ciudad Constitución Airport, Mexico
1813	CYW 	0.00017422	Captain Rogelio Castillo National Airport, Mexico
1814	MIJ 	0.00017422	Mili Island Airport, Marshall Islands
1815	AHS 	0.00017422	Ahuas Airport, Honduras
1816	WTO 	0.00017422	Wotho Island Airport, Marshall Islands
1817	WTE 	0.00017422	Wotje Atoll Airport, Marshall Islands
1818	WJA 	0.00017422	Woja Airport, Marshall Islands
1819	UIT 	0.00017422	Jaluit Airport, Marshall Islands
1820	RNP 	0.00017422	Rongelap Island Airport, Marshall Islands
1821	NDK 	0.00017422	Namorik Atoll Airport, Marshall Islands
1822	MJE 	0.00017422	Majkin Airport, Marshall Islands
1823	MJB 	0.00017422	Mejit Atoll Airport, Marshall Islands
1824	MAV 	0.00017422	Maloelap Island Airport, Marshall Islands
1825	LIK 	0.00017422	Likiep Airport, Marshall Islands
1826	KBT 	0.00017422	Kaben Airport, Marshall Islands
1827	JEJ 	0.00017422	Jeh Airport, Marshall Islands
1828	JAT 	0.00017422	Jabot Airport, Marshall Islands
1829	BII 	0.00017422	Enyu Airfield, Marshall Islands
1830	AUL 	0.00017422	Aur Island Airport, Marshall Islands
1831	AIM 	0.00017422	Ailuk Airport, Marshall Islands
1832	UTK 	0.00017422	Utirik Airport, Marshall Islands
1833	AAZ 	0.00017422	Quezaltenango Airport, Guatemala
1834	PBR 	0.00017422	Puerto Barrios Airport, Guatemala
1835	JBQ 	0.00017422	Dr Joaquin Balaguer International Airport, Dominican Republic
1836	MDS 	0.00017422	Middle Caicos Airport, Turks and Caicos Islands
1837	ILZ 	0.00017422	Žilina Airport, Slovakia
1838	SZF 	0.00017422	Samsun-Çarşamba Airport, Turkey
1839	SFQ 	0.00017422	Sanliurfa Airport, Turkey
1840	USQ 	0.00017422	Usak Airport, Turkey
1841	QSR 	0.00017422	Salerno Pontecagnano Airport, Italy
1842	AOT 	0.00017422	Aosta Airport, Italy
1843	QGY 	0.00017422	Győr-Pér International Airport, Hungary
1844	PEV 	0.00017422	Pécs-Pogány Airport, Hungary
1845	LTT 	0.00017422	La Môle Airport, France
1846	EAP 	0.00017422	EuroAirport, France
1847	IDY 	0.00017422	Île d'Yeu Airport, France
1848	KWY 	0.00017422	Kiwayu (Mkononi) Airport, Kenya
1849	RDG 	0.00017422	Reading Regional Carl A Spaatz Field, United States
1850	PSM 	0.00017422	Pease International Tradeport, United States
1851	KIO 	0.00017422	Kili Airport, Marshall Islands
1852	ALM 	0.00017422	Alamogordo White Sands Regional Airport, United States
1853	TQR 	0.00017422	San Domino Island Heliport, Italy
1854	ULU 	0.00017422	Gulu Airport, Uganda
1855	TBO 	0.00017422	Tabora Airport, Tanzania
1856	SHY 	0.00017422	Shinyanga Airport, Tanzania
1857	MUZ 	0.00017422	Musoma Airport, Tanzania
1858	LDI 	0.00017422	Kikwetu Airport, Tanzania
1859	TKQ 	0.00017422	Kigoma Airport, Tanzania
1860	BKZ 	0.00017422	Bukoba Airport, Tanzania
1861	ATB 	0.00017422	Atbara Airport, Sudan
1862	MJI 	0.00017422	Mitiga Airport, Libya
1863	AAC 	0.00017422	El Arish International Airport, Egypt
1864	BUO 	0.00017422	Burao Airport, Somalia
1865	ALU 	0.00017422	Alula Airport, Somalia
1866	TIE 	0.00017422	Tippi Airport, Ethiopia
1867	MTF 	0.00017422	Mizan Teferi Airport, Ethiopia
1868	GOR 	0.00017422	Gore Airport, Ethiopia
1869	DEM 	0.00017422	Dembidollo Airport, Ethiopia
1870	DSE 	0.00017422	Combolcha Airport, Ethiopia
1871	BEI 	0.00017422	Beica Airport, Ethiopia
1872	BCO 	0.00017422	Baco Airport, Ethiopia
1873	SMW 	0.00017422	Smara Airport, Western Sahara
1874	QFI 	0.00017422	Iginniarfik Heliport, Greenland
1875	QCU 	0.00017422	Akunnaaq Heliport, Greenland
1876	JGR 	0.00017422	Groennedal Heliport, Greenland
1877	KEN 	0.00017422	Kenema Airport, Sierra Leone
1878	KBS 	0.00017422	Bo Airport, Sierra Leone
1879	BTE 	0.00017422	Sherbro International Airport, Sierra Leone
1880	JCU 	0.00017422	Ceuta Heliport, Spain
1881	CRU 	0.00017422	Lauriston Airport, Grenada
1882	PSV 	0.00017422	Papa Stour Airport, United Kingdom
1883	OUK 	0.00017422	Outer Skerries Airport, United Kingdom
1884	FOA 	0.00017422	Foula Airport, United Kingdom
1885	GAX 	0.00017422	Gamba, Gabon
1886	PFR 	0.00017422	Ilebo Airport, Congo (Kinshasa)
1887	LJA 	0.00017422	Lodja Airport, Congo (Kinshasa)
1888	TSH 	0.00017422	Tshikapa Airport, Congo (Kinshasa)
1889	BSU 	0.00017422	Basankusu Airport, Congo (Kinshasa)
1890	KRZ 	0.00017422	Basango Mboliasa Airport, Congo (Kinshasa)
1891	NIO 	0.00017422	Nioki Airport, Congo (Kinshasa)
1892	INO 	0.00017422	Inongo Airport, Congo (Kinshasa)
1893	MAT 	0.00017422	Tshimpi Airport, Congo (Kinshasa)
1894	BOA 	0.00017422	Boma Airport, Congo (Kinshasa)
1895	SWP 	0.00017422	Swakopmund Airport, Namibia
1896	OMD 	0.00017422	Oranjemund Airport, Namibia
1897	CMK 	0.00017422	Club Makokola Airport, Malawi
1898	SRH 	0.00017422	Sarh Airport, Chad
1899	JCA 	0.00017422	Croisette Heliport, France
1900	TCH 	0.00017422	Tchibanga Airport, Gabon
1901	MJL 	0.00017422	Mouilla Ville Airport, Gabon
1902	KOU 	0.00017422	Koulamoutou Airport, Gabon
1903	MSZ 	0.00017422	Namibe Airport, Angola
1904	DUE 	0.00017422	Dundo Airport, Angola
1905	MJA 	0.00017422	Manja Airport, Madagascar
1906	WMA 	0.00017422	Mandritsara Airport, Madagascar
1907	TTS 	0.00017422	Tsaratanana Airport, Madagascar
1908	WMP 	0.00017422	Mampikony Airport, Madagascar
1909	DWB 	0.00017422	Soalala Airport, Madagascar
1910	IVA 	0.00017422	Ambanja Airport, Madagascar
1911	WPB 	0.00017422	Port Bergé Airport, Madagascar
1912	WAM 	0.00017422	Ambatondrazaka Airport, Madagascar
1913	WTS 	0.00017422	Tsiroanomandidy Airport, Madagascar
1914	WTA 	0.00017422	Tambohorano Airport, Madagascar
1915	TVA 	0.00017422	Morafenobe Airport, Madagascar
1916	MXT 	0.00017422	Maintirano Airport, Madagascar
1917	JVA 	0.00017422	Ankavandra Airport, Madagascar
1918	WAQ 	0.00017422	Antsalova Airport, Madagascar
1919	YVA 	0.00017422	Iconi Airport, Comoros
1920	DIS 	0.00017422	Loubomo Airport, Congo (Brazzaville)
1921	TLD 	0.00017422	Limpopo Valley Airport, Botswana
1922	SWX 	0.00017422	Shakawe Airport, Botswana
1923	ORP 	0.00017422	Orapa Airport, Botswana
1924	GNZ 	0.00017422	Ghanzi Airport, Botswana
1925	MBD 	0.00017422	Mmabatho International Airport, South Africa
1926	AAM 	0.00017422	Malamala Airport, South Africa
1927	QRA 	0.00017422	Rand Airport, South Africa
1928	VTS 	0.00017422	Ventspils International Airport, Latvia
1929	HIL 	0.00017422	Shilavo Airport, Ethiopia
1930	SQO 	0.00017422	Storuman Airport, Sweden
1931	TYF 	0.00017422	Torsby Airport, Sweden
1932	HFS 	0.00017422	Hagfors Airport, Sweden
1933	VRY 	0.00017422	Værøy Heliport, Norway
1934	CNL 	0.00017422	Sindal Airport, Denmark
1935	HLY 	0.00017422	Anglesey Airport, United Kingdom
1936	PZE 	0.00017422	Penzance Heliport, United Kingdom
1937	LWK 	0.00017422	Lerwick / Tingwall Airport, United Kingdom
1938	FIE 	0.00017422	Fair Isle Airport, United Kingdom
1939	NQT 	0.00017422	Nottingham Airport, United Kingdom
1940	SJY 	0.00017422	Seinäjoki Airport, Finland
1941	HGL 	0.00017422	Helgoland-Düne Airport, Germany
1942	HEI 	0.00017422	Heide-Büsum Airport, Germany
1943	ZWL 	0.00017422	Wollaston Lake Airport, Canada
1944	ZTM 	0.00017422	Shamattawa Airport, Canada
1945	ZJN 	0.00017422	Swan River Airport, Canada
1946	ZGI 	0.00017422	Gods River Airport, Canada
1947	ZFD 	0.00017422	Fond-Du-Lac Airport, Canada
1948	ILF 	0.00017422	Ilford Airport, Canada
1949	ZAC 	0.00017422	York Landing Airport, Canada
1950	YST 	0.00017422	St. Theresa Point Airport, Canada
1951	YSF 	0.00017422	Stony Rapids Airport, Canada
1952	YQN 	0.00017422	Nakina Airport, Canada
1953	YOH 	0.00017422	Oxford House Airport, Canada
1954	YNL 	0.00017422	Points North Landing Airport, Canada
1955	YNE 	0.00017422	Norway House Airport, Canada
1956	YIV 	0.00017422	Island Lake Airport, Canada
1957	YHC 	0.00017422	Vancouver Harbour Water Airport, Canada
1958	YGO 	0.00017422	Gods Lake Narrows Airport, Canada
1959	YGB 	0.00017422	Texada Gillies Bay Airport, Canada
1960	YRF 	0.00017422	Cartwright Airport, Canada
1961	YBE 	0.00017422	Uranium City Airport, Canada
1962	YCK 	0.00017422	Colville Lake Airport, Canada
1963	YWS 	0.00017422	Whistler/Green Lake Water Aerodrome, Canada
1964	PND 	0.00017422	Punta Gorda Airport, Belize
1965	VPN 	0.00017422	Vopnafjörður Airport, Iceland
1966	THO 	0.00017422	Thorshofn Airport, Iceland
1967	GRY 	0.00017422	Grímsey Airport, Iceland
1968	JGO 	0.00017422	Qeqertarsuaq Heliport, Greenland
1969	KMA 	0.00017422	Kerema Airport, Papua New Guinea
1970	KRI 	0.00017422	Kikori Airport, Papua New Guinea
1971	CMU 	0.00017422	Chimbu Airport, Papua New Guinea
1972	MNY 	0.00017422	Mono Airport, Solomon Islands
1973	GZO 	0.00017422	Nusatupe Airport, Solomon Islands
1974	MBU 	0.00017422	Babanakira Airport, Solomon Islands
1975	KXK 	0.00017422	Komsomolsk-on-Amur Airport, Russia
1976	OYG 	0.00017422	Moyo Airport, Uganda
1977	CNN 	0.00017422	Chulman, Russia
1978	UNI 	0.00017422	Union Island International Airport, Saint Vincent and the Grenadines
1979	BQU 	0.00017422	J F Mitchell Airport, Saint Vincent and the Grenadines
1980	BBR 	0.00017422	Baillif Airport, Guadeloupe
1981	DSD 	0.00017422	La Désirade Airport, Guadeloupe
1982	MDO 	0.00017422	El Jaguel / Punta del Este Airport, Uruguay
1983	LHC 	0.00017422	Caballococha Airport, Peru
1984	SRJ 	0.00017422	Capitán Av. German Quiroga G. Airport, Bolivia
1985	GLJ 	0.00017422	La Jagua Airport, Colombia
1986	CRC 	0.00017422	Santa Ana Airport, Colombia
1987	PSY 	0.00017422	Stanley Airport, Falkland Islands
1988	SOD 	0.00017422	Sorocaba Airport, Brazil
1989	ESR 	0.00017422	Ricardo García Posada Airport, Chile
1990	NEC 	0.00017422	Necochea Airport, Argentina
1991	ING 	0.00017422	Lago Argentino Airport, Argentina
1992	SFE 	0.00017422	San Fernando Airport, Philippines
1993	TDG 	0.00017422	Tandag Airport, Philippines
1994	SFS 	0.00017422	Subic Bay International Airport, Philippines
1995	OHO 	0.00017422	Okhotsk Airport, Russia
1996	UJE 	0.00017422	Ujae Atoll Airport, Marshall Islands
1997	MPW 	0.00017422	Mariupol International Airport, Ukraine
1998	RWN 	0.00017422	Rivne International Airport, Ukraine
1999	AMV 	0.00017422	Amderma Airport, Russia
2000	MVQ 	0.00017422	Mogilev Airport, Belarus
2001	EIE 	0.00017422	Yeniseysk Airport, Russia
2002	KYZ 	0.00017422	Kyzyl Airport, Russia
2003	HTG 	0.00017422	Khatanga Airport, Russia
2004	NAL 	0.00017422	Nalchik Airport, Russia
2005	WKK 	0.00017422	Aleknagik Airport, United States
2006	BKX 	0.00017422	Brookings Regional Airport, United States
2007	BLF 	0.00017422	Mercer County Airport, United States
2008	IFP 	0.00017422	Laughlin-Bullhead Intl, United States
2009	LPS 	0.00017422	Lopez Island Airport, United States
2010	NYA 	0.00017422	Nyagan Airport, Russia
2011	RAT 	0.00017422	Raduzhny Airport, Russia
2012	NFG 	0.00017422	Nefteyugansk Airport, Russia
2013	KRO 	0.00017422	Kurgan Airport, Russia
2014	RYB 	0.00017422	Staroselye Airport, Russia
2015	URS 	0.00017422	Kursk East Airport, Russia
2016	LPK 	0.00017422	Lipetsk Airport, Russia
2017	JOK 	0.00017422	Yoshkar-Ola Airport, Russia
2018	BWO 	0.00017422	Balakovo Airport, Russia
2019	KCT 	0.00017422	Koggala Airport, Sri Lanka
